category,rank,word,count
Exclusivity,13,term,88
Exclusivity,14,distributor,87
Exclusivity,15,during,86
Exclusivity,16,grants,78
Exclusivity,17,all,71
Exclusivity,18,terms,69
Exclusivity,19,provided,65
Exclusivity,20,rights,63
Expiration Date,1,term,397
Expiration Date,2,date,389
Expiration Date,3,effective,279
Expiration Date,4,terminated,186
Expiration Date,5,unless,182
Expiration Date,6,initial,137
Expiration Date,7,continue,135
Expiration Date,8,years,117
Expiration Date,9,period,110
Expiration Date,10,earlier,104
Expiration Date,11,commence,102
Expiration Date,12,until,88
Expiration Date,13,provided,88
Expiration Date,14,effect,82
Expiration Date,15,year,73
Expiration Date,16,any,71
Expiration Date,17,accordance,71
Expiration Date,18,termination,69
Expiration Date,19,upon,56
Expiration Date,20,one,56
Governing Law,1,laws,513
Governing Law,2,state,348
Governing Law,3,governed,318
Governing Law,4,accordance,243
Governing Law,5,construed,232
Governing Law,6,without,187
Governing Law,7,law,167
Governing Law,8,any,123
Governing Law,9,principles,121
Governing Law,10,new,114
Governing Law,11,york,109
Governing Law,12,conflict,105
Governing Law,13,regard,98
Governing Law,14,conflicts,93
Governing Law,15,all,66
Governing Law,16,california,62
Governing Law,17,effect,60
Governing Law,18,provisions,54
Governing Law,19,jurisdiction,53
Governing Law,20,interpreted,53
Insurance,1,insurance,689
Insurance,2,liability,379
Insurance,3,such,232
Insurance,4,coverage,192
Insurance,5,any,174
Insurance,6,maintain,164
Insurance,7,each,155
Insurance,8,all,154
Insurance,9,not,143
Insurance,10,policies,118
Insurance,11,policy,114
Insurance,12,limits,112
Insurance,13,than,105
Insurance,14,general,99
Insurance,15,other,98
Insurance,16,occurrence,97
Insurance,17,less,95
Insurance,18,provide,94
Insurance,19,additional,92
Insurance,20,injury,91
Ip Ownership Assignment,1,all,324
Ip Ownership Assignment,2,any,311
Ip Ownership Assignment,3,such,218
Ip Ownership Assignment,4,rights,194
Ip Ownership Assignment,5,title,124
Ip Ownership Assignment,6,property,124
Ip Ownership Assignment,7,assign,115
Ip Ownership Assignment,8,right,112
Ip Ownership Assignment,9,interest,110
Ip Ownership Assignment,10,other,106
Ip Ownership Assignment,11,intellectual,97
Ip Ownership Assignment,12,product,95
Ip Ownership Assignment,13,company,82
Ip Ownership Assignment,14,not,73
Ip Ownership Assignment,15,work,72
Ip Ownership Assignment,16,assigns,70
Ip Ownership Assignment,17,agrees,64
Ip Ownership Assignment,18,works,62
Ip Ownership Assignment,19,transfer,62
Ip Ownership Assignment,20,extent,54
Irrevocable Or Perpetual License,1,license,156
Irrevocable Or Perpetual License,2,use,139
Irrevocable Or Perpetual License,3,any,130
Irrevocable Or Perpetual License,4,grants,111
Irrevocable Or Perpetual License,5,perpetual,101
Irrevocable Or Perpetual License,6,royalty-free,76
Irrevocable Or Perpetual License,7,subject,75
Irrevocable Or Perpetual License,8,non-exclusive,74
Irrevocable Or Perpetual License,9,irrevocable,73
Irrevocable Or Perpetual License,10,such,70
Irrevocable Or Perpetual License,11,under,69
Irrevocable Or Perpetual License,12,worldwide,64
Irrevocable Or Perpetual License,13,software,64
Irrevocable Or Perpetual License,14,other,60
Irrevocable Or Perpetual License,15,licensed,57
Irrevocable Or Perpetual License,16,right,50
Irrevocable Or Perpetual License,17,rights,48
Irrevocable Or Perpetual License,18,property,47
Irrevocable Or Perpetual License,19,terms,44
Irrevocable Or Perpetual License,20,intellectual,43
Joint Ip Ownership,1,any,104
Joint Ip Ownership,2,jointly,78
Joint Ip Ownership,3,such,77
Joint Ip Ownership,4,joint,72
Joint Ip Ownership,5,other,62
Joint Ip Ownership,6,all,53
Joint Ip Ownership,7,property,49
Joint Ip Ownership,8,intellectual,47
Joint Ip Ownership,9,rights,47
Joint Ip Ownership,10,owned,44
Joint Ip Ownership,11,patents,36
Joint Ip Ownership,12,inventions,34
Joint Ip Ownership,13,patent,28
Joint Ip Ownership,14,right,26
Joint Ip Ownership,15,product,24
Joint Ip Ownership,16,not,24
Joint Ip Ownership,17,each,22
Joint Ip Ownership,18,data,21
Joint Ip Ownership,19,third,20
Joint Ip Ownership,20,without,20
License Grant,1,use,586
License Grant,2,license,532
License Grant,3,grants,407
License Grant,4,any,373
License Grant,5,right,324
License Grant,6,such,257
License Grant,7,subject,253
License Grant,8,non-exclusive,247
License Grant,9,under,233
License Grant,10,products,218
License Grant,11,licensed,213
License Grant,12,terms,209
License Grant,13,other,201
License Grant,14,software,170
License Grant,15,solely,167
License Grant,16,term,160
License Grant,17,conditions,158
License Grant,18,royalty-free,156
License Grant,19,territory,150
License Grant,20,during,145
Liquidated Damages,1,termination,74
Liquidated Damages,2,damages,68
Liquidated Damages,3,liquidated,60
Liquidated Damages,4,pay,54
Liquidated Damages,5,any,50
Liquidated Damages,6,date,48
Liquidated Damages,7,amount,44
Liquidated Damages,8,such,42
Liquidated Damages,9,fee,40
Liquidated Damages,10,not,35
Liquidated Damages,11,equal,30
Liquidated Damages,12,event,29
Liquidated Damages,13,then,27
Liquidated Damages,14,rmb,25
Liquidated Damages,15,breach,23
Liquidated Damages,16,due,21
Liquidated Damages,17,payment,20
Liquidated Damages,18,months,20
Liquidated Damages,19,under,19
Liquidated Damages,20,notice,18
Minimum Commitment,1,minimum,310
Minimum Commitment,2,year,171
Minimum Commitment,3,such,160
Minimum Commitment,4,any,133
Minimum Commitment,5,each,115
Minimum Commitment,6,term,107
Minimum Commitment,7,product,105
Minimum Commitment,8,during,104
Minimum Commitment,9,not,99
Minimum Commitment,10,purchase,91
Minimum Commitment,11,than,82
Minimum Commitment,12,period,77
Minimum Commitment,13,amount,71
Minimum Commitment,14,per,66
Minimum Commitment,15,set,64
Minimum Commitment,16,event,60
Minimum Commitment,17,less,59
Minimum Commitment,18,month,58
Minimum Commitment,19,forth,58
Minimum Commitment,20,least,58
Most Favored Nation,1,such,51
Most Favored Nation,2,any,50
Most Favored Nation,3,terms,35
Most Favored Nation,4,other,27
Most Favored Nation,5,than,23
Most Favored Nation,6,licensed,17
Most Favored Nation,7,provided,16
Most Favored Nation,8,licensor,15
Most Favored Nation,9,favorable,15
Most Favored Nation,10,fees,14
Most Favored Nation,11,not,13
Most Favored Nation,12,more,13
Most Favored Nation,13,products,13
Most Favored Nation,14,third,12
Most Favored Nation,15,company,12
Most Favored Nation,16,use,10
Most Favored Nation,17,services,10
Most Favored Nation,18,same,10
Most Favored Nation,19,product,10
Most Favored Nation,20,pricing,10
No-Solicit Of Customers,1,any,79
No-Solicit Of Customers,2,not,33
No-Solicit Of Customers,3,directly,20
No-Solicit Of Customers,4,solicit,19
No-Solicit Of Customers,5,products,19
No-Solicit Of Customers,6,business,18
No-Solicit Of Customers,7,company,18
No-Solicit Of Customers,8,during,18
No-Solicit Of Customers,9,customer,18
No-Solicit Of Customers,10,customers,17
No-Solicit Of Customers,11,term,15
No-Solicit Of Customers,12,indirectly,15
No-Solicit Of Customers,13,other,12
No-Solicit Of Customers,14,period,11
No-Solicit Of Customers,15,without,11
No-Solicit Of Customers,16,client,11
No-Solicit Of Customers,17,agrees,10
No-Solicit Of Customers,18,otherwise,10
No-Solicit Of Customers,19,except,10
No-Solicit Of Customers,20,divert,10
No-Solicit Of Employees,1,any,156
No-Solicit Of Employees,2,not,70
No-Solicit Of Employees,3,employee,68
No-Solicit Of Employees,4,employment,66
No-Solicit Of Employees,5,other,62
No-Solicit Of Employees,6,solicit,48
No-Solicit Of Employees,7,such,47
No-Solicit Of Employees,8,during,44
No-Solicit Of Employees,9,period,44
No-Solicit Of Employees,10,person,40
No-Solicit Of Employees,11,term,36
No-Solicit Of Employees,12,directly,36
No-Solicit Of Employees,13,indirectly,33
No-Solicit Of Employees,14,company,33
No-Solicit Of Employees,15,without,24
No-Solicit Of Employees,16,induce,23
No-Solicit Of Employees,17,affiliates,22
No-Solicit Of Employees,18,prior,22
No-Solicit Of Employees,19,agrees,21
No-Solicit Of Employees,20,termination,21
Non-Compete,1,any,397
Non-Compete,2,not,168
Non-Compete,3,business,106
Non-Compete,4,products,82
Non-Compete,5,company,80
Non-Compete,6,other,80
Non-Compete,7,during,73
Non-Compete,8,term,66
Non-Compete,9,such,63
Non-Compete,10,directly,59
Non-Compete,11,product,54
Non-Compete,12,services,52
Non-Compete,13,period,49
Non-Compete,14,indirectly,48
Non-Compete,15,time,45
Non-Compete,16,competitive,44
Non-Compete,17,within,43
Non-Compete,18,similar,39
Non-Compete,19,termination,39
Non-Compete,20,franchisee,39
Non-Disparagement,1,any,145
Non-Disparagement,2,company,50
Non-Disparagement,3,other,43
Non-Disparagement,4,not,33
Non-Disparagement,5,affiliates,31
Non-Disparagement,6,such,22
Non-Disparagement,7,business,22
Non-Disparagement,8,reputation,19
Non-Disparagement,9,breach,16
Non-Disparagement,10,cause,15
Non-Disparagement,11,directors,15
Non-Disparagement,12,make,15
Non-Disparagement,13,made,15
Non-Disparagement,14,otherwise,15
Non-Disparagement,15,notice,14
Non-Disparagement,16,material,14
Non-Disparagement,17,disparage,13
Non-Disparagement,18,statement,13
Non-Disparagement,19,directly,12
Non-Disparagement,20,indirectly,12
Non-Transferable License,1,use,224
Non-Transferable License,2,license,196
Non-Transferable License,3,grants,163
Non-Transferable License,4,any,140
Non-Transferable License,5,right,136
Non-Transferable License,6,except,116
Non-Transferable License,7,non-exclusive,114
Non-Transferable License,8,non-transferable,111
Non-Transferable License,9,subject,108
Non-Transferable License,10,solely,95
Non-Transferable License,11,terms,95
Non-Transferable License,12,software,94
Non-Transferable License,13,licensed,93
Non-Transferable License,14,royalty-free,79
Non-Transferable License,15,such,77
Non-Transferable License,16,term,76
Non-Transferable License,17,conditions,75
Non-Transferable License,18,under,75
Non-Transferable License,19,set,74
Non-Transferable License,20,forth,74
Notice Period To Terminate Renewal,1,term,196
Notice Period To Terminate Renewal,2,notice,84
Notice Period To Terminate Renewal,3,prior,81
Notice Period To Terminate Renewal,4,initial,80
Notice Period To Terminate Renewal,5,unless,80
Notice Period To Terminate Renewal,6,written,74
Notice Period To Terminate Renewal,7,automatically,70
Notice Period To Terminate Renewal,8,either,68
Notice Period To Terminate Renewal,9,year,67
Notice Period To Terminate Renewal,10,other,66
Notice Period To Terminate Renewal,11,one,64
Notice Period To Terminate Renewal,12,renewal,63
Notice Period To Terminate Renewal,13,renew,59
Notice Period To Terminate Renewal,14,days,56
Notice Period To Terminate Renewal,15,least,54
Notice Period To Terminate Renewal,16,date,48
Notice Period To Terminate Renewal,17,expiration,46
Notice Period To Terminate Renewal,18,terms,40
Notice Period To Terminate Renewal,19,not,38
Notice Period To Terminate Renewal,20,any,38
Parties,1,inc,388
Parties,2,company,126
Parties,3,llc,110
Parties,4,collectively,99
Parties,5,ltd,92
Parties,6,corporation,85
Parties,7,referred,71
Parties,8,individually,61
Parties,9,limited,52
Parties,10,each,51
Parties,11,together,34
Parties,12,com,34
Parties,13,group,32
Parties,14,services,31
Parties,15,bank,30
Parties,16,international,30
Parties,17,corp,27
Parties,18,technologies,27
Parties,19,licensee,27
Parties,20,distributor,26
Post-Termination Services,1,termination,455
Post-Termination Services,2,any,392
Post-Termination Services,3,such,375
Post-Termination Services,4,all,205
Post-Termination Services,5,product,157
Post-Termination Services,6,expiration,153
Post-Termination Services,7,period,148
Post-Termination Services,8,pursuant,136
Post-Termination Services,9,date,134
Post-Termination Services,10,other,122
Post-Termination Services,11,upon,121
Post-Termination Services,12,products,107
Post-Termination Services,13,not,106
Post-Termination Services,14,under,99
Post-Termination Services,15,company,90
Post-Termination Services,16,following,88
Post-Termination Services,17,after,87
Post-Termination Services,18,continue,84
Post-Termination Services,19,provided,83
Post-Termination Services,20,effective,79
Price Restrictions,1,year,31
Price Restrictions,2,such,27
Price Restrictions,3,facility,25
Price Restrictions,4,increase,24
Price Restrictions,5,conversion,23
Price Restrictions,6,cost,20
Price Restrictions,7,price,18
Price Restrictions,8,any,18
Price Restrictions,9,fiscal,17
Price Restrictions,10,term,16
Price Restrictions,11,than,16
Price Restrictions,12,percent,15
Price Restrictions,13,not,13
Price Restrictions,14,product,11
Price Restrictions,15,during,10
Price Restrictions,16,prices,9
Price Restrictions,17,each,9
Price Restrictions,18,adjustment,8
Price Restrictions,19,first,8
Price Restrictions,20,per,8
Renewal Term,1,term,280
Renewal Term,2,year,110
Renewal Term,3,renewal,104
Renewal Term,4,initial,101
Renewal Term,5,automatically,97
Renewal Term,6,unless,96
Renewal Term,7,renew,93
Renewal Term,8,notice,91
Renewal Term,9,one,88
Renewal Term,10,prior,84
Renewal Term,11,other,79
Renewal Term,12,written,78
Renewal Term,13,terms,75
Renewal Term,14,period,69
Renewal Term,15,either,67
Renewal Term,16,date,64
Renewal Term,17,days,62
Renewal Term,18,each,58
Renewal Term,19,least,57
Renewal Term,20,additional,57
Revenue/Profit Sharing,1,such,222
Revenue/Profit Sharing,2,pay,152
Revenue/Profit Sharing,3,net,149
Revenue/Profit Sharing,4,sales,145
Revenue/Profit Sharing,5,royalty,142
Revenue/Profit Sharing,6,any,132
Revenue/Profit Sharing,7,revenue,128
Revenue/Profit Sharing,8,product,117
Revenue/Profit Sharing,9,percent,105
Revenue/Profit Sharing,10,each,99
Revenue/Profit Sharing,11,during,97
Revenue/Profit Sharing,12,fee,94
Revenue/Profit Sharing,13,calendar,90
Revenue/Profit Sharing,14,products,84
Revenue/Profit Sharing,15,share,78
Revenue/Profit Sharing,16,gross,77
Revenue/Profit Sharing,17,amount,74
Revenue/Profit Sharing,18,equal,72
Revenue/Profit Sharing,19,revenues,71
Revenue/Profit Sharing,20,all,69
Rofr/Rofo/Rofn,1,such,292
Rofr/Rofo/Rofn,2,any,224
Rofr/Rofo/Rofn,3,notice,213
Rofr/Rofo/Rofn,4,not,141
Rofr/Rofo/Rofn,5,right,133
Rofr/Rofo/Rofn,6,purchase,131
Rofr/Rofo/Rofn,7,option,126
Rofr/Rofo/Rofn,8,terms,108
Rofr/Rofo/Rofn,9,first,104
Rofr/Rofo/Rofn,10,period,100
Rofr/Rofo/Rofn,11,days,96
Rofr/Rofo/Rofn,12,other,95
Rofr/Rofo/Rofn,13,company,93
Rofr/Rofo/Rofn,14,offer,91
Rofr/Rofo/Rofn,15,exercise,89
Rofr/Rofo/Rofn,16,within,87
Rofr/Rofo/Rofn,17,date,87
Rofr/Rofo/Rofn,18,all,85
Rofr/Rofo/Rofn,19,sale,81
Rofr/Rofo/Rofn,20,rights,78
Source Code Escrow,1,escrow,72
Source Code Escrow,2,code,64
Source Code Escrow,3,source,62
Source Code Escrow,4,any,48
Source Code Escrow,5,software,32
Source Code Escrow,6,all,30
Source Code Escrow,7,such,30
Source Code Escrow,8,under,30
Source Code Escrow,9,agent,29
Source Code Escrow,10,release,29
Source Code Escrow,11,ehave,24
Source Code Escrow,12,not,23
Source Code Escrow,13,material,18
Source Code Escrow,14,licensee,18
Source Code Escrow,15,package,18
Source Code Escrow,16,corio,17
Source Code Escrow,17,other,17
Source Code Escrow,18,days,16
Source Code Escrow,19,documentation,16
Source Code Escrow,20,use,16
Termination For Convenience,1,notice,194
Termination For Convenience,2,any,187
Termination For Convenience,3,written,162
Termination For Convenience,4,terminate,154
Termination For Convenience,5,prior,104
Termination For Convenience,6,upon,100
Termination For Convenience,7,time,87
Termination For Convenience,8,days,76
Termination For Convenience,9,other,70
Termination For Convenience,10,termination,66
Termination For Convenience,11,either,59
Termination For Convenience,12,such,50
Termination For Convenience,13,date,49
Termination For Convenience,14,without,45
Termination For Convenience,15,terminated,40
Termination For Convenience,16,term,39
Termination For Convenience,17,days',38
Termination For Convenience,18,reason,38
Termination For Convenience,19,giving,37
Termination For Convenience,20,right,36
Third Party Beneficiary,1,any,20
Third Party Beneficiary,2,third,19
Third Party Beneficiary,3,beneficiary,16
Third Party Beneficiary,4,intended,9
Third Party Beneficiary,5,not,8
Third Party Beneficiary,6,third-party,7
Third Party Beneficiary,7,enforce,7
Third Party Beneficiary,8,beneficiaries,7
Third Party Beneficiary,9,under,7
Third Party Beneficiary,10,rights,7
Third Party Beneficiary,11,agree,6
Third Party Beneficiary,12,such,6
Third Party Beneficiary,13,except,6
Third Party Beneficiary,14,expressly,6
Third Party Beneficiary,15,indemnified,6
Third Party Beneficiary,16,deemed,5
Third Party Beneficiary,17,person,5
Third Party Beneficiary,18,provided,5
Third Party Beneficiary,19,terms,5
Third Party Beneficiary,20,right,4
Uncapped Liability,1,any,234
Uncapped Liability,2,damages,175
Uncapped Liability,3,liability,142
Uncapped Liability,4,under,139
Uncapped Liability,5,other,120
Uncapped Liability,6,such,104
Uncapped Liability,7,except,94
Uncapped Liability,8,party's,93
Uncapped Liability,9,arising,91
Uncapped Liability,10,obligations,89
Uncapped Liability,11,breach,87
Uncapped Liability,12,consequential,74
Uncapped Liability,13,indemnification,74
Uncapped Liability,14,event,74
Uncapped Liability,15,liable,71
Uncapped Liability,16,not,71
Uncapped Liability,17,either,70
Uncapped Liability,18,special,63
Uncapped Liability,19,negligence,62
Uncapped Liability,20,incidental,62
Unlimited/All-You-Can-Eat-License,1,unlimited,24
Unlimited/All-You-Can-Eat-License,2,license,17
Unlimited/All-You-Can-Eat-License,3,use,16
Unlimited/All-You-Can-Eat-License,4,software,12
Unlimited/All-You-Can-Eat-License,5,any,12
Unlimited/All-You-Can-Eat-License,6,voip,11
Unlimited/All-You-Can-Eat-License,7,call,11
Unlimited/All-You-Can-Eat-License,8,right,10
Unlimited/All-You-Can-Eat-License,9,such,10
Unlimited/All-You-Can-Eat-License,10,grants,9
Unlimited/All-You-Can-Eat-License,11,purposes,9
Unlimited/All-You-Can-Eat-License,12,corio,8
Unlimited/All-You-Can-Eat-License,13,customer,8
Unlimited/All-You-Can-Eat-License,14,one,7
Unlimited/All-You-Can-Eat-License,15,number,7
Unlimited/All-You-Can-Eat-License,16,access,7
Unlimited/All-You-Can-Eat-License,17,changepoint,7
Unlimited/All-You-Can-Eat-License,18,other,7
Unlimited/All-You-Can-Eat-License,19,products,7
Unlimited/All-You-Can-Eat-License,20,except,6
Volume Restriction,1,such,70
Volume Restriction,2,not,52
Volume Restriction,3,any,44
Volume Restriction,4,than,38
Volume Restriction,5,maximum,38
Volume Restriction,6,each,34
Volume Restriction,7,per,32
Volume Restriction,8,one,32
Volume Restriction,9,time,29
Volume Restriction,10,hours,28
Volume Restriction,11,exceed,28
Volume Restriction,12,more,27
Volume Restriction,13,year,25
Volume Restriction,14,all,24
Volume Restriction,15,day,23
Volume Restriction,16,products,22
Volume Restriction,17,during,21
Volume Restriction,18,two,19
Volume Restriction,19,other,19
Volume Restriction,20,available,18
Warranty Duration,1,product,120
Warranty Duration,2,period,114
Warranty Duration,3,warranty,109
Warranty Duration,4,any,99
Warranty Duration,5,such,90
Warranty Duration,6,products,63
Warranty Duration,7,within,57
Warranty Duration,8,days,56
Warranty Duration,9,date,51
Warranty Duration,10,not,50
Warranty Duration,11,distributor,48
Warranty Duration,12,software,45
Warranty Duration,13,defects,42
Warranty Duration,14,after,35
Warranty Duration,15,licensed,34
Warranty Duration,16,all,33
Warranty Duration,17,delivery,32
Warranty Duration,18,provided,30
Warranty Duration,19,warrants,30
Warranty Duration,20,shipment,29
